YEAR,Wine Class,Grape Variety,Region,Band,Income_R_per_t,average_annual_growth_percent
2024,White,Gewurztraminer,BREEDEKLOOF   ,High,7113,
2024,White,Muscat d'Alexandrie,BREEDEKLOOF   ,High,6364,
2024,White,Muscat de Frontignan,BREEDEKLOOF   ,High,7113,
2024,White,Pinot gris,BREEDEKLOOF   ,High,6364,
2024,White,Sauvignon blanc,BREEDEKLOOF   ,High,8722,
2024,White,Sémillon,BREEDEKLOOF   ,High,9078,
2024,White,Viognier,BREEDEKLOOF   ,High,6364,
2024,White,Riesling,BREEDEKLOOF   ,High,11700,
2024,White,Other White,BREEDEKLOOF   ,High,7113,
2024,Red,Cabernet Franc,BREEDEKLOOF   ,High,6364,
2024,Red,Cabernet Sauvignon,BREEDEKLOOF   ,High,11043,
2024,Red,Carignan,BREEDEKLOOF   ,High,6364,
2024,Red,Cinsaut,BREEDEKLOOF   ,High,5709,
2024,Red,Gamay noir,BREEDEKLOOF   ,High,7475,
2024,Red,Merlot,BREEDEKLOOF   ,High,9733,
2024,Red,Petit Verdot,BREEDEKLOOF   ,High,8423,
2024,Red,Pinot noir,BREEDEKLOOF   ,High,10388,
2024,Red,Pinotage,BREEDEKLOOF   ,High,8786,
2024,Red,Roobernet,BREEDEKLOOF   ,High,7475,
2024,Red,Ruby Cabernet,BREEDEKLOOF   ,High,5054,
2024,Red,Shiraz,BREEDEKLOOF   ,High,9733,
2024,Red,Tinta Barocca,BREEDEKLOOF   ,High,4399,
2024,Red,Other Red,BREEDEKLOOF   ,High,7475,
2024,White,Bukettraube,ROBERTSON     ,Low ,5055,
2024,White,Crouchen,ROBERTSON     ,Low ,5055,
2024,White,Chardonnay,ROBERTSON     ,Low ,8213,
2024,White,Chenin Blanc,ROBERTSON     ,Low ,4002,
2024,White,Clairette blanche,ROBERTSON     ,Low ,5055,
2024,White,Colombar,ROBERTSON     ,Low ,4000,
2024,White,Palomino,ROBERTSON     ,Low ,5055,
2024,White,Gewurztraminer,ROBERTSON     ,Low ,5055,
2024,White,Muscat d'Alexandrie,ROBERTSON     ,Low ,5710,
2024,White,Muscat de Frontignan,ROBERTSON     ,Low ,5500,
2024,White,Pinot gris,ROBERTSON     ,Low ,5710,
2024,White,Sauvignon blanc,ROBERTSON     ,Low ,5931,
2024,White,Sémillon,ROBERTSON     ,Low ,8500,
2024,White,Viognier,ROBERTSON     ,Low ,5000,
2024,White,Riesling,ROBERTSON     ,Low ,4399,
2024,White,Other White,ROBERTSON     ,Low ,5055,
2024,Red,Cabernet Franc,ROBERTSON     ,Low ,6040,
2024,Red,Cabernet Sauvignon,ROBERTSON     ,Low ,6364,
2024,Red,Carignan,ROBERTSON     ,Low ,5710,
2024,Red,Cinsaut,ROBERTSON     ,Low ,5055,
2024,Red,Gamay noir,ROBERTSON     ,Low ,5175,
2024,Red,Merlot,ROBERTSON     ,Low ,6000,
2024,Red,Petit Verdot,ROBERTSON     ,Low ,8423,
2024,Red,Pinot noir,ROBERTSON     ,Low ,6756,
2024,Red,Pinotage,ROBERTSON     ,Low ,5380,
2024,Red,Roobernet,ROBERTSON     ,Low ,5175,
2024,Red,Ruby Cabernet,ROBERTSON     ,Low ,5000,
2024,Red,Shiraz,ROBERTSON     ,Low ,6028,
2024,Red,Tinta Barocca,ROBERTSON     ,Low ,3745,
2024,Red,Other Red,ROBERTSON     ,Low ,5175,
2024,White,Bukettraube,ROBERTSON     ,High,7113,
2024,White,Crouchen,ROBERTSON     ,High,7113,
2024,White,Chardonnay,ROBERTSON     ,High,9078,
2024,White,Chenin Blanc,ROBERTSON     ,High,4399,
2024,White,Clairette blanche,ROBERTSON     ,High,7113,
2024,White,Colombar,ROBERTSON     ,High,4399,
2024,White,Palomino,ROBERTSON     ,High,7113,
2024,White,Gewurztraminer,ROBERTSON     ,High,7113,
2024,White,Muscat d'Alexandrie,ROBERTSON     ,High,6364,
2024,White,Muscat de Frontignan,ROBERTSON     ,High,7113,
2024,White,Pinot gris,ROBERTSON     ,High,6364,
2024,White,Sauvignon blanc,ROBERTSON     ,High,6364,
2024,White,Sémillon,ROBERTSON     ,High,9078,
2024,White,Viognier,ROBERTSON     ,High,6364,
2024,White,Riesling,ROBERTSON     ,High,11700,
2024,White,Other White,ROBERTSON     ,High,7113,
2024,Red,Cabernet Franc,ROBERTSON     ,High,6364,
2024,Red,Cabernet Sauvignon,ROBERTSON     ,High,11043,
2024,Red,Carignan,ROBERTSON     ,High,6364,
2024,Red,Cinsaut,ROBERTSON     ,High,5709,
2024,Red,Gamay noir,ROBERTSON     ,High,6364,
2024,Red,Merlot,ROBERTSON     ,High,9733,
2024,Red,Petit Verdot,ROBERTSON     ,High,8500,
2024,Red,Pinot noir,ROBERTSON     ,High,10388,
2024,Red,Pinotage,ROBERTSON     ,High,6364,
2024,Red,Roobernet,ROBERTSON     ,High,6364,
2024,Red,Ruby Cabernet,ROBERTSON     ,High,5054,
2024,Red,Shiraz,ROBERTSON     ,High,9733,
2024,Red,Tinta Barocca,ROBERTSON     ,High,4399,
2024,Red,Other Red,ROBERTSON     ,High,6364,
2024,White,Bukettraube,WORCESTER     ,Low ,5055,
2024,White,Crouchen,WORCESTER     ,Low ,5055,
2024,White,Chardonnay,WORCESTER     ,Low ,7769,
2024,White,Chenin Blanc,WORCESTER     ,Low ,3745,
2024,White,Clairette blanche,WORCESTER     ,Low ,5055,
2024,White,Colombar,WORCESTER     ,Low ,3745,
2024,White,Palomino,WORCESTER     ,Low ,5055,
2024,White,Gewurztraminer,WORCESTER     ,Low ,5055,
2024,White,Muscat d'Alexandrie,WORCESTER     ,Low ,5710,
2024,White,Muscat de Frontignan,WORCESTER     ,Low ,5055,
2024,White,Pinot gris,WORCESTER     ,Low ,5710,
2024,White,Sauvignon blanc,WORCESTER     ,Low ,6364,
2024,White,Sémillon,WORCESTER     ,Low ,7114,
2024,White,Viognier,WORCESTER     ,Low ,5000,
2024,White,Riesling,WORCESTER     ,Low ,5553,
2024,White,Other White,WORCESTER     ,Low ,5055,
2024,Red,Cabernet Franc,WORCESTER     ,Low ,5710,
2024,Red,Cabernet Sauvignon,WORCESTER     ,Low ,5055,
2024,Red,Carignan,WORCESTER     ,Low ,5710,
2024,Red,Cinsaut,WORCESTER     ,Low ,5055,
2024,Red,Gamay noir,WORCESTER     ,Low ,6000,
2024,Red,Merlot,WORCESTER     ,Low ,5710,
2024,Red,Petit Verdot,WORCESTER     ,Low ,7769,
2024,Red,Pinot noir,WORCESTER     ,Low ,10388,
2024,Red,Pinotage,WORCESTER     ,Low ,5710,
2024,Red,Roobernet,WORCESTER     ,Low ,6000,
2024,Red,Ruby Cabernet,WORCESTER     ,Low ,4400,
2024,Red,Shiraz,WORCESTER     ,Low ,9733,
2024,Red,Tinta Barocca,WORCESTER     ,Low ,3745,
2024,Red,Other Red,WORCESTER     ,Low ,6000,
2024,White,Bukettraube,WORCESTER     ,High,7113,
2024,White,Crouchen,WORCESTER     ,High,7113,
2024,White,Chardonnay,WORCESTER     ,High,13580,
2024,White,Chenin Blanc,WORCESTER     ,High,4399,
2024,White,Clairette blanche,WORCESTER     ,High,7113,
2024,White,Colombar,WORCESTER     ,High,4399,
2024,White,Palomino,WORCESTER     ,High,7113,
2024,White,Gewurztraminer,WORCESTER     ,High,7113,
2024,White,Muscat d'Alexandrie,WORCESTER     ,High,6364,
2024,White,Muscat de Frontignan,WORCESTER     ,High,7113,
2024,White,Pinot gris,WORCESTER     ,High,6364,
2024,White,Sauvignon blanc,WORCESTER     ,High,10700,
