Wine Class,Grape Variety,Region,Band,Yield_R_per_ha,
Red,Cinsaut,CAPE SOUTH COAST,Low ,1822,
Red,Gamay noir,CAPE SOUTH COAST,Low ,5199,
Red,Merlot,CAPE SOUTH COAST,Low ,7590,
Red,Petit Verdot,CAPE SOUTH COAST,Low ,5199,
Red,Pinot noir,CAPE SOUTH COAST,Low ,5199,
Red,Pinotage,CAPE SOUTH COAST,Low ,3070,
Red,Roobernet,CAPE SOUTH COAST,Low ,5199,
Red,Ruby Cabernet,CAPE SOUTH COAST,Low ,5199,
Red,Shiraz,CAPE SOUTH COAST,Low ,6823,
Red,Tinta Barocca,CAPE SOUTH COAST,Low ,5199,
Red,Other Red,CAPE SOUTH COAST,Low ,5199,
White,Bukettraube,CAPE SOUTH COAST,High,8780,
White,Crouchen,CAPE SOUTH COAST,High,8780,
White,Chardonnay,CAPE SOUTH COAST,High,6180,
White,Chenin Blanc,CAPE SOUTH COAST,High,7530,
White,Clairette blanche,CAPE SOUTH COAST,High,8780,
White,Colombar,CAPE SOUTH COAST,High,11390,
White,Palomino,CAPE SOUTH COAST,High,8780,
White,Gewurztraminer,CAPE SOUTH COAST,High,8780,
White,Muscat d'Alexandrie,CAPE SOUTH COAST,High,8780,
White,Muscat de Frontignan,CAPE SOUTH COAST,High,8780,
White,Pinot gris,CAPE SOUTH COAST,High,8780,
White,Sauvignon blanc,CAPE SOUTH COAST,High,8540,
White,Sémillon,CAPE SOUTH COAST,High,8780,
White,Viognier,CAPE SOUTH COAST,High,8780,
White,Riesling,CAPE SOUTH COAST,High,8780,
White,Other White,CAPE SOUTH COAST,High,8780,
Red,Cabernet Franc,CAPE SOUTH COAST,High,6250,
Red,Cabernet Sauvignon,CAPE SOUTH COAST,High,5470,
Red,Carignan,CAPE SOUTH COAST,High,6250,
Red,Cinsaut,CAPE SOUTH COAST,High,1860,
Red,Gamay noir,CAPE SOUTH COAST,High,6250,
Red,Merlot,CAPE SOUTH COAST,High,8830,
Red,Petit Verdot,CAPE SOUTH COAST,High,6250,
Red,Pinot noir,CAPE SOUTH COAST,High,6250,
Red,Pinotage,CAPE SOUTH COAST,High,6618,
Red,Roobernet,CAPE SOUTH COAST,High,6250,
Red,Ruby Cabernet,CAPE SOUTH COAST,High,6250,
Red,Shiraz,CAPE SOUTH COAST,High,7980,1157
Red,Tinta Barocca,CAPE SOUTH COAST,High,6250,
Red,Other Red,CAPE SOUTH COAST,High,6250,
White,Bukettraube,CAPE TOWN,Low ,7965,
White,Crouchen,CAPE TOWN,Low ,7965,
White,Chardonnay,CAPE TOWN,Low ,6809,
White,Chenin Blanc,CAPE TOWN,Low ,7699,
White,Clairette blanche,CAPE TOWN,Low ,7965,
White,Colombar,CAPE TOWN,Low ,9603,
White,Palomino,CAPE TOWN,Low ,7965,
White,Gewurztraminer,CAPE TOWN,Low ,7965,
White,Muscat d'Alexandrie,CAPE TOWN,Low ,7965,
White,Muscat de Frontignan,CAPE TOWN,Low ,7965,
White,Pinot gris,CAPE TOWN,Low ,7965,
White,Sauvignon blanc,CAPE TOWN,Low ,7958,
White,Sémillon,CAPE TOWN,Low ,7965,
White,Viognier,CAPE TOWN,Low ,7965,
White,Riesling,CAPE TOWN,Low ,7965,
White,Other White,CAPE TOWN,Low ,7965,
Red,Cabernet Franc,CAPE TOWN,Low ,6170,
Red,Cabernet Sauvignon,CAPE TOWN,Low ,6405,
Red,Carignan,CAPE TOWN,Low ,6170,
Red,Cinsaut,CAPE TOWN,Low ,7681,
Red,Gamay noir,CAPE TOWN,Low ,6170,
Red,Merlot,CAPE TOWN,Low ,8274,
Red,Petit Verdot,CAPE TOWN,Low ,6170,
Red,Pinot noir,CAPE TOWN,Low ,6170,
Red,Pinotage,CAPE TOWN,Low ,7937,
Red,Roobernet,CAPE TOWN,Low ,6170,
Red,Ruby Cabernet,CAPE TOWN,Low ,6170,
Red,Shiraz,CAPE TOWN,Low ,8141,
Red,Tinta Barocca,CAPE TOWN,Low ,6170,
Red,Other Red,CAPE TOWN,Low ,6170,
White,Bukettraube,CAPE TOWN,High,10680,
White,Crouchen,CAPE TOWN,High,10680,
White,Chardonnay,CAPE TOWN,High,7990,
White,Chenin Blanc,CAPE TOWN,High,8680,
White,Clairette blanche,CAPE TOWN,High,10680,
White,Colombar,CAPE TOWN,High,11390,
White,Palomino,CAPE TOWN,High,10680,
White,Gewurztraminer,CAPE TOWN,High,10680,
White,Muscat d'Alexandrie,CAPE TOWN,High,10680,
White,Muscat de Frontignan,CAPE TOWN,High,10680,
White,Pinot gris,CAPE TOWN,High,10680,
White,Sauvignon blanc,CAPE TOWN,High,9310,
White,Sémillon,CAPE TOWN,High,10680,
White,Viognier,CAPE TOWN,High,10680,
White,Riesling,CAPE TOWN,High,10680,
White,Other White,CAPE TOWN,High,10680,
Red,Cabernet Franc,CAPE TOWN,High,7734,
Red,Cabernet Sauvignon,CAPE TOWN,High,6880,
Red,Carignan,CAPE TOWN,High,7734,
Red,Cinsaut,CAPE TOWN,High,8810,
Red,Gamay noir,CAPE TOWN,High,7734,
Red,Merlot,CAPE TOWN,High,9110,
Red,Petit Verdot,CAPE TOWN,High,7734,
Red,Pinot noir,CAPE TOWN,High,7734,
Red,Pinotage,CAPE TOWN,High,8890,
Red,Roobernet,CAPE TOWN,High,7734,
Red,Ruby Cabernet,CAPE TOWN,High,7734,
Red,Shiraz,CAPE TOWN,High,9040,899
Red,Tinta Barocca,CAPE TOWN,High,7734,
Red,Other Red,CAPE TOWN,High,7734,
White,Bukettraube,SWARTLAND     ,Low ,16043,
White,Crouchen,SWARTLAND     ,Low ,16043,
White,Chardonnay,SWARTLAND     ,Low ,7602,
White,Chenin Blanc,SWARTLAND     ,Low ,8888,
White,Clairette blanche,SWARTLAND     ,Low ,16043,
White,Colombar,SWARTLAND     ,Low ,12772,
White,Palomino,SWARTLAND     ,Low ,16043,
White,Gewurztraminer,SWARTLAND     ,Low ,16043,
White,Muscat d'Alexandrie,SWARTLAND     ,Low ,16043,
White,Muscat de Frontignan,SWARTLAND     ,Low ,16043,
White,Pinot gris,SWARTLAND     ,Low ,16043,
White,Sauvignon blanc,SWARTLAND     ,Low ,6848,
White,Sémillon,SWARTLAND     ,Low ,16043,
White,Viognier,SWARTLAND     ,Low ,16043,
White,Riesling,SWARTLAND     ,Low ,16043,
White,Other White,SWARTLAND     ,Low ,16043,
Red,Cabernet Franc,SWARTLAND     ,Low ,7260,
Red,Cabernet Sauvignon,SWARTLAND     ,Low ,6012,
Red,Carignan,SWARTLAND     ,Low ,7260,
Red,Cinsaut,SWARTLAND     ,Low ,8918,
Red,Gamay noir,SWARTLAND     ,Low ,7260,
Red,Merlot,SWARTLAND     ,Low ,7752,
Red,Petit Verdot,SWARTLAND     ,Low ,7260,
Red,Pinot noir,SWARTLAND     ,Low ,7260,
Red,Pinotage,SWARTLAND     ,Low ,8390,
Red,Roobernet,SWARTLAND     ,Low ,7260,
Red,Ruby Cabernet,SWARTLAND     ,Low ,7260,
Red,Shiraz,SWARTLAND     ,Low ,7372,
Red,Tinta Barocca,SWARTLAND     ,Low ,7260,
Red,Other Red,SWARTLAND     ,Low ,7260,
White,Bukettraube,SWARTLAND     ,High,19850,
White,Crouchen,SWARTLAND     ,High,19850,
White,Chardonnay,SWARTLAND     ,High,11660,
White,Chenin Blanc,SWARTLAND     ,High,16050,
White,Clairette blanche,SWARTLAND     ,High,19850,
White,Colombar,SWARTLAND     ,High,22450,
White,Palomino,SWARTLAND     ,High,19850,
White,Gewurztraminer,SWARTLAND     ,High,19850,
White,Muscat d'Alexandrie,SWARTLAND     ,High,19850,
White,Muscat de Frontignan,SWARTLAND     ,High,19850,
White,Pinot gris,SWARTLAND     ,High,19850,
White,Sauvignon blanc,SWARTLAND     ,High,11730,
White,Sémillon,SWARTLAND     ,High,19850,
White,Viognier,SWARTLAND     ,High,19850,
White,Riesling,SWARTLAND     ,High,19850,
White,Other White,SWARTLAND     ,High,19850,
Red,Cabernet Franc,SWARTLAND     ,High,13720,
Red,Cabernet Sauvignon,SWARTLAND     ,High,9110,
Red,Carignan,SWARTLAND     ,High,13720,
Red,Cinsaut,SWARTLAND     ,High,12740,
Red,Gamay noir,SWARTLAND     ,High,13720,
Red,Merlot,SWARTLAND     ,High,10520,
Red,Petit Verdot,SWARTLAND     ,High,13720,
Red,Pinot noir,SWARTLAND     ,High,13720,
Red,Pinotage,SWARTLAND     ,High,12570,
Red,Roobernet,SWARTLAND     ,High,13720,
Red,Ruby Cabernet,SWARTLAND     ,High,13720,
Red,Shiraz,SWARTLAND     ,High,11330,3958
Red,Tinta Barocca,SWARTLAND     ,High,13720,
Red,Other Red,SWARTLAND     ,High,13720,
