Wine Class,Grape Variety,Region,Band,Yield_R_per_ha,
White,Colombar,ROBERTSON     ,High,23823,
White,Palomino,ROBERTSON     ,High,19390,
White,Gewurztraminer,ROBERTSON     ,High,19390,
White,Muscat d'Alexandrie,ROBERTSON     ,High,19390,
White,Muscat de Frontignan,ROBERTSON     ,High,19390,
White,Pinot gris,ROBERTSON     ,High,19390,
White,Sauvignon blanc,ROBERTSON     ,High,19470,
White,Sémillon,ROBERTSON     ,High,19390,
White,Viognier,ROBERTSON     ,High,19390,
White,Riesling,ROBERTSON     ,High,19390,
White,Other White,ROBERTSON     ,High,19390,
Red,Cabernet Franc,ROBERTSON     ,High,17400,
Red,Cabernet Sauvignon,ROBERTSON     ,High,12980,
Red,Carignan,ROBERTSON     ,High,17400,
Red,Cinsaut,ROBERTSON     ,High,27490,
Red,Gamay noir,ROBERTSON     ,High,17400,
Red,Merlot,ROBERTSON     ,High,14910,
Red,Petit Verdot,ROBERTSON     ,High,17400,
Red,Pinot noir,ROBERTSON     ,High,17400,
Red,Pinotage,ROBERTSON     ,High,21620,
Red,Roobernet,ROBERTSON     ,High,17400,
Red,Ruby Cabernet,ROBERTSON     ,High,17400,
Red,Shiraz,ROBERTSON     ,High,16360,2692
Red,Tinta Barocca,ROBERTSON     ,High,17400,
Red,Other Red,ROBERTSON     ,High,17400,
White,Bukettraube,WORCESTER     ,Low ,17530,
White,Crouchen,WORCESTER     ,Low ,17530,
White,Chardonnay,WORCESTER     ,Low ,14674,
White,Chenin Blanc,WORCESTER     ,Low ,22495,
White,Clairette blanche,WORCESTER     ,Low ,17530,
White,Colombar,WORCESTER     ,Low ,24016,
White,Palomino,WORCESTER     ,Low ,17530,
White,Gewurztraminer,WORCESTER     ,Low ,17530,
White,Muscat d'Alexandrie,WORCESTER     ,Low ,17530,
White,Muscat de Frontignan,WORCESTER     ,Low ,17530,
White,Pinot gris,WORCESTER     ,Low ,17530,
White,Sauvignon blanc,WORCESTER     ,Low ,16242,
White,Sémillon,WORCESTER     ,Low ,17530,
White,Viognier,WORCESTER     ,Low ,17530,
White,Riesling,WORCESTER     ,Low ,17530,
White,Other White,WORCESTER     ,Low ,17530,
Red,Cabernet Franc,WORCESTER     ,Low ,14116,
Red,Cabernet Sauvignon,WORCESTER     ,Low ,12510,
Red,Carignan,WORCESTER     ,Low ,14116,
