YEAR,Wine Class,Grape Variety,Region,Band,Income_R_per_t
2025,Red,Tinta Barocca,ROBERTSON     ,Low ,4877
2025,Red,Other Red,ROBERTSON     ,Low ,4877
2025,White,Bukettraube,ROBERTSON     ,High,7055
2025,White,Crouchen,ROBERTSON     ,High,14422
2025,White,Chardonnay,ROBERTSON     ,High,10064
2025,White,Chenin Blanc,ROBERTSON     ,High,5603
2025,White,Clairette blanche,ROBERTSON     ,High,7055
2025,White,Colombar,ROBERTSON     ,High,4876
2025,White,Palomino,ROBERTSON     ,High,8612
2025,White,Gewurztraminer,ROBERTSON     ,High,7055
2025,White,Muscat d'Alexandrie,ROBERTSON     ,High,7055
2025,White,Muscat de Frontignan,ROBERTSON     ,High,5603
2025,White,Pinot gris,ROBERTSON     ,High,7055
2025,White,Sauvignon blanc,ROBERTSON     ,High,12969
2025,White,Sémillon,ROBERTSON     ,High,11517
2025,White,Viognier,ROBERTSON     ,High,13696
2025,White,Riesling,ROBERTSON     ,High,9338
2025,White,Other White,ROBERTSON     ,High,7055
2025,Red,Cabernet Franc,ROBERTSON     ,High,19506
2025,Red,Cabernet Sauvignon,ROBERTSON     ,High,10064
2025,Red,Carignan,ROBERTSON     ,High,6329
2025,Red,Cinsaut,ROBERTSON     ,High,10064
2025,Red,Gamay noir,ROBERTSON     ,High,10791
2025,Red,Merlot,ROBERTSON     ,High,10064
2025,Red,Petit Verdot,ROBERTSON     ,High,9338
2025,Red,Pinot noir,ROBERTSON     ,High,14422
2025,Red,Pinotage,ROBERTSON     ,High,8612
2025,Red,Roobernet,ROBERTSON     ,High,7055
2025,Red,Ruby Cabernet,ROBERTSON     ,High,5603
2025,Red,Shiraz,ROBERTSON     ,High,12243
2025,Red,Tinta Barocca,ROBERTSON     ,High,5603
2025,Red,Other Red,ROBERTSON     ,High,8612
2025,White,Bukettraube,WORCESTER     ,Low ,5055
2025,White,Crouchen,WORCESTER     ,Low ,11518
2025,White,Chardonnay,WORCESTER     ,Low ,8613
2025,White,Chenin Blanc,WORCESTER     ,Low ,4151
2025,White,Clairette blanche,WORCESTER     ,Low ,6330
2025,White,Colombar,WORCESTER     ,Low ,4151
2025,White,Palomino,WORCESTER     ,Low ,5055
2025,White,Gewurztraminer,WORCESTER     ,Low ,6330
2025,White,Muscat d'Alexandrie,WORCESTER     ,Low ,3425
2025,White,Muscat de Frontignan,WORCESTER     ,Low ,4877
2025,White,Pinot gris,WORCESTER     ,Low ,5710
2025,White,Sauvignon blanc,WORCESTER     ,Low ,7886
2025,White,Sémillon,WORCESTER     ,Low ,7886
2025,White,Viognier,WORCESTER     ,Low ,8613
2025,White,Riesling,WORCESTER     ,Low ,4877
