Year,Region,Category,Item,Avg_Cost,model_ready_blended_growth_percent
2024,OLIFANTSRIVER,Direkte koste,Pakmateriaal,0,
2024,OLIFANTSRIVER,Direkte koste,"Saad, organiese bemesting en materiaal",1003.81,
2024,OLIFANTSRIVER,Direkte koste,Veevoer en medisyne / Droogmiddels,0,
2024,OLIFANTSRIVER,Arbeid,Permanente arbeid,7972.92,
2024,OLIFANTSRIVER,Arbeid,Seisoensarbeid en kontrakwerk,3011.23,
2024,OLIFANTSRIVER,Arbeid,Toesig en bestuurshulp,1633.88,
2024,OLIFANTSRIVER,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4914.79,
2024,OLIFANTSRIVER,Meganisasie,Herstel. onderdele en reparasies,4720.78,
2024,OLIFANTSRIVER,Meganisasie,Lisensies en versekering - Voertuie / losbates,1156.47,
2024,OLIFANTSRIVER,Meganisasie,Vervoer gehuur,694.47,
2024,OLIFANTSRIVER,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1010.04,
2024,OLIFANTSRIVER,Vaste verbeteringe,Verskering - vaste verbeteringe,711.18,
2024,OLIFANTSRIVER,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,68.16,
2024,OLIFANTSRIVER,Algemene uitgawes,Admin - Sekuriteit,184.9,
2024,OLIFANTSRIVER,Algemene uitgawes,Administrasie,1581.13,
2024,OLIFANTSRIVER,Algemene uitgawes,Elektrisiteit,6260.08,
2024,OLIFANTSRIVER,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",419.23,
2024,OLIFANTSRIVER,Algemene uitgawes,Waterkoste / belasting,3536.74,
2024,OLIFANTSRIVER,Provision for renewal,Provision for renewal,18300,
2024,OLIFANTSRIVER,Total Expenditure,Total Expenditure,67978.64,
2024,NORTHERN CAPE,Direkte koste,Gewasbeskerming (swam- en insekbeheer),3193.87,
2024,NORTHERN CAPE,Direkte koste,Herstel- en bindmateriaal,361.05,
2024,NORTHERN CAPE,Direkte koste,Koelkamer huur,0,
2024,NORTHERN CAPE,Direkte koste,"Kunsmis, blaar- en grondontledings",4312.53,
2024,NORTHERN CAPE,Direkte koste,Onkruiddoder,811.48,
2024,NORTHERN CAPE,Direkte koste,Pakmateriaal,0,
2024,NORTHERN CAPE,Direkte koste,"Saad, organiese bemesting en materiaal",45.51,
2024,NORTHERN CAPE,Direkte koste,Veevoer en medisyne / Droogmiddels,0,
2024,NORTHERN CAPE,Arbeid,Permanente arbeid,10465.64,
2024,NORTHERN CAPE,Arbeid,Seisoensarbeid en kontrakwerk,12753.9,
2024,NORTHERN CAPE,Arbeid,Toesig en bestuurshulp,3269.34,
2024,NORTHERN CAPE,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,6588.07,
2024,NORTHERN CAPE,Meganisasie,Herstel. onderdele en reparasies,5169.3,
2024,NORTHERN CAPE,Meganisasie,Lisensies en versekering - Voertuie / losbates,1183.67,
2024,NORTHERN CAPE,Meganisasie,Vervoer gehuur,1653.61,
2024,NORTHERN CAPE,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2109.87,
2024,NORTHERN CAPE,Vaste verbeteringe,Verskering - vaste verbeteringe,914.23,
2024,NORTHERN CAPE,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,365.16,
2024,NORTHERN CAPE,Algemene uitgawes,Admin - Sekuriteit,162.11,
2024,NORTHERN CAPE,Algemene uitgawes,Administrasie,2978.08,
2024,NORTHERN CAPE,Algemene uitgawes,Elektrisiteit,3785.72,
2024,NORTHERN CAPE,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",121.33,
2024,NORTHERN CAPE,Algemene uitgawes,Waterkoste / belasting,2773.71,
2024,NORTHERN CAPE,Provision for renewal,Provision for renewal,18112,
2024,NORTHERN CAPE,Total Expenditure,Total Expenditure,81130.18,
2024,KLEIN KAROO,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5294.74,
2024,KLEIN KAROO,Direkte koste,Herstel- en bindmateriaal,181,
2024,KLEIN KAROO,Direkte koste,Koelkamer huur,0,
2024,KLEIN KAROO,Direkte koste,"Kunsmis, blaar- en grondontledings",3609.94,
2024,KLEIN KAROO,Direkte koste,Onkruiddoder,1056.62,
2024,KLEIN KAROO,Direkte koste,Pakmateriaal,0,
2024,KLEIN KAROO,Direkte koste,"Saad, organiese bemesting en materiaal",120,
2024,KLEIN KAROO,Direkte koste,Veevoer en medisyne / Droogmiddels,0,
2024,KLEIN KAROO,Arbeid,Permanente arbeid,11781.9,
2024,KLEIN KAROO,Arbeid,Seisoensarbeid en kontrakwerk,2964.61,
2024,KLEIN KAROO,Arbeid,Toesig en bestuurshulp,2430.04,
2024,KLEIN KAROO,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4899.08,
2024,KLEIN KAROO,Meganisasie,Herstel. onderdele en reparasies,3441.4,
2024,KLEIN KAROO,Meganisasie,Lisensies en versekering - Voertuie / losbates,1007.97,
2024,KLEIN KAROO,Meganisasie,Vervoer gehuur,452,
2024,KLEIN KAROO,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2131.03,
2024,KLEIN KAROO,Vaste verbeteringe,Verskering - vaste verbeteringe,723,
2024,KLEIN KAROO,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0,
2024,KLEIN KAROO,Algemene uitgawes,Admin - Sekuriteit,0,
2024,KLEIN KAROO,Algemene uitgawes,Administrasie,2282.42,
2024,KLEIN KAROO,Algemene uitgawes,Elektrisiteit,6770.09,
2024,KLEIN KAROO,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",368,
2024,KLEIN KAROO,Algemene uitgawes,Waterkoste / belasting,8527.24,
2024,KLEIN KAROO,Provision for renewal,Provision for renewal,18148,
2024,KLEIN KAROO,Total Expenditure,Total Expenditure,76189.08,
2024,PAARL,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5419.43,
2024,PAARL,Direkte koste,Herstel- en bindmateriaal,432.63,
2024,PAARL,Direkte koste,Koelkamer huur,0,
2024,PAARL,Direkte koste,"Kunsmis, blaar- en grondontledings",3455.86,
2024,PAARL,Direkte koste,Onkruiddoder,1644.8,
2024,PAARL,Direkte koste,Pakmateriaal,0,
2024,PAARL,Direkte koste,"Saad, organiese bemesting en materiaal",570.15,
2024,PAARL,Direkte koste,Veevoer en medisyne / Droogmiddels,0,
2024,PAARL,Arbeid,Permanente arbeid,9349.39,
2024,PAARL,Arbeid,Seisoensarbeid en kontrakwerk,8445.06,
2024,PAARL,Arbeid,Toesig en bestuurshulp,3499.87,
2024,PAARL,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4506.19,
2024,PAARL,Meganisasie,Herstel. onderdele en reparasies,5006.41,
2024,PAARL,Meganisasie,Lisensies en versekering - Voertuie / losbates,671.92,
2024,PAARL,Meganisasie,Vervoer gehuur,609.39,
2024,PAARL,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1108.89,
2024,PAARL,Vaste verbeteringe,Verskering - vaste verbeteringe,518.19,
2024,PAARL,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,162.82,
2024,PAARL,Algemene uitgawes,Admin - Sekuriteit,275.18,
2024,PAARL,Algemene uitgawes,Administrasie,1846.5,
2024,PAARL,Algemene uitgawes,Elektrisiteit,4389.89,
2024,PAARL,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",357.05,
2024,PAARL,Algemene uitgawes,Waterkoste / belasting,1057.69,
2024,PAARL,Provision for renewal,Provision for renewal,17152,
2024,PAARL,Total Expenditure,Total Expenditure,70494.01,
2024,STELLENBOSCH,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5610.08,
2024,STELLENBOSCH,Direkte koste,Herstel- en bindmateriaal,498.71,
2024,STELLENBOSCH,Direkte koste,Koelkamer huur,0,
2024,STELLENBOSCH,Direkte koste,"Kunsmis, blaar- en grondontledings",1812.08,
2024,STELLENBOSCH,Direkte koste,Onkruiddoder,2342.18,
2024,STELLENBOSCH,Direkte koste,Pakmateriaal,0,
2024,STELLENBOSCH,Direkte koste,"Saad, organiese bemesting en materiaal",680.97,
2024,STELLENBOSCH,Direkte koste,Veevoer en medisyne / Droogmiddels,0,
2024,STELLENBOSCH,Arbeid,Permanente arbeid,15077.58,
2024,STELLENBOSCH,Arbeid,Seisoensarbeid en kontrakwerk,10359.53,
2024,STELLENBOSCH,Arbeid,Toesig en bestuurshulp,6305.26,
2024,STELLENBOSCH,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4791.32,
2024,STELLENBOSCH,Meganisasie,Herstel. onderdele en reparasies,4826.79,
2024,STELLENBOSCH,Meganisasie,Lisensies en versekering - Voertuie / losbates,693.63,
2024,STELLENBOSCH,Meganisasie,Vervoer gehuur,530.9,
2024,STELLENBOSCH,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1647.95,
2024,STELLENBOSCH,Vaste verbeteringe,Verskering - vaste verbeteringe,613.91,
2024,STELLENBOSCH,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,107.45,
2024,STELLENBOSCH,Algemene uitgawes,Admin - Sekuriteit,662.3,
2024,STELLENBOSCH,Algemene uitgawes,Administrasie,2629.36,
2024,STELLENBOSCH,Algemene uitgawes,Elektrisiteit,2468.71,
2024,STELLENBOSCH,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",683.11,
2024,STELLENBOSCH,Algemene uitgawes,Waterkoste / belasting,809.54,
2024,STELLENBOSCH,Provision for renewal,Provision for renewal,16965,
