Region,Category,Item,Avg_Cost
OLIFANTSRIVER,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0
OLIFANTSRIVER,Algemene uitgawes,Admin - Sekuriteit,0
OLIFANTSRIVER,Algemene uitgawes,Administrasie,2254
OLIFANTSRIVER,Algemene uitgawes,Elektrisiteit,6899
OLIFANTSRIVER,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",351
OLIFANTSRIVER,Algemene uitgawes,Waterkoste / belasting,3482
OLIFANTSRIVER,Provision for renewal,Provision for renewal,19150
OLIFANTSRIVER,Total Expenditure,Total Expenditure,73460
NORTHERN CAPE,Direkte koste,Gewasbeskerming (swam- en insekbeheer),2980
NORTHERN CAPE,Direkte koste,Herstel- en bindmateriaal,438
NORTHERN CAPE,Direkte koste,Koelkamer huur,0
NORTHERN CAPE,Direkte koste,"Kunsmis, blaar- en grondontledings",5116
NORTHERN CAPE,Direkte koste,Onkruiddoder,793
NORTHERN CAPE,Direkte koste,Pakmateriaal,0
NORTHERN CAPE,Direkte koste,"Saad, organiese bemesting en materiaal",93
NORTHERN CAPE,Direkte koste,Veevoer en medisyne / Droogmiddels,0
NORTHERN CAPE,Arbeid,Permanente arbeid,11812
NORTHERN CAPE,Arbeid,Seisoensarbeid en kontrakwerk,20425
NORTHERN CAPE,Arbeid,Toesig en bestuurshulp,5035
NORTHERN CAPE,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,6756
NORTHERN CAPE,Meganisasie,Herstel. onderdele en reparasies,5578
NORTHERN CAPE,Meganisasie,Lisensies en versekering - Voertuie / losbates,1597
NORTHERN CAPE,Meganisasie,Vervoer gehuur,1988
NORTHERN CAPE,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2384
NORTHERN CAPE,Vaste verbeteringe,Verskering - vaste verbeteringe,1035
NORTHERN CAPE,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0
NORTHERN CAPE,Algemene uitgawes,Admin - Sekuriteit,0
NORTHERN CAPE,Algemene uitgawes,Administrasie,3977
NORTHERN CAPE,Algemene uitgawes,Elektrisiteit,4671
NORTHERN CAPE,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",619
NORTHERN CAPE,Algemene uitgawes,Waterkoste / belasting,3733
NORTHERN CAPE,Provision for renewal,Provision for renewal,19321
NORTHERN CAPE,Total Expenditure,Total Expenditure,98351
KLEIN KAROO,Direkte koste,Gewasbeskerming (swam- en insekbeheer),4486
KLEIN KAROO,Direkte koste,Herstel- en bindmateriaal,330
KLEIN KAROO,Direkte koste,Koelkamer huur,0
KLEIN KAROO,Direkte koste,"Kunsmis, blaar- en grondontledings",3641
KLEIN KAROO,Direkte koste,Onkruiddoder,963
KLEIN KAROO,Direkte koste,Pakmateriaal,0
KLEIN KAROO,Direkte koste,"Saad, organiese bemesting en materiaal",1377
KLEIN KAROO,Direkte koste,Veevoer en medisyne / Droogmiddels,0
KLEIN KAROO,Arbeid,Permanente arbeid,14302
KLEIN KAROO,Arbeid,Seisoensarbeid en kontrakwerk,1737
KLEIN KAROO,Arbeid,Toesig en bestuurshulp,2378
KLEIN KAROO,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,5061
KLEIN KAROO,Meganisasie,Herstel. onderdele en reparasies,4320
KLEIN KAROO,Meganisasie,Lisensies en versekering - Voertuie / losbates,851
KLEIN KAROO,Meganisasie,Vervoer gehuur,296
KLEIN KAROO,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2964
KLEIN KAROO,Vaste verbeteringe,Verskering - vaste verbeteringe,745
KLEIN KAROO,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0
KLEIN KAROO,Algemene uitgawes,Admin - Sekuriteit,0
KLEIN KAROO,Algemene uitgawes,Administrasie,2514
KLEIN KAROO,Algemene uitgawes,Elektrisiteit,7501
KLEIN KAROO,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",508
KLEIN KAROO,Algemene uitgawes,Waterkoste / belasting,8853
KLEIN KAROO,Provision for renewal,Provision for renewal,21974
KLEIN KAROO,Total Expenditure,Total Expenditure,84801
PAARL,Direkte koste,Gewasbeskerming (swam- en insekbeheer),4808
PAARL,Direkte koste,Herstel- en bindmateriaal,437
PAARL,Direkte koste,Koelkamer huur,0
PAARL,Direkte koste,"Kunsmis, blaar- en grondontledings",3592
PAARL,Direkte koste,Onkruiddoder,2243
PAARL,Direkte koste,Pakmateriaal,0
PAARL,Direkte koste,"Saad, organiese bemesting en materiaal",526
PAARL,Direkte koste,Veevoer en medisyne / Droogmiddels,0
PAARL,Arbeid,Permanente arbeid,8723
PAARL,Arbeid,Seisoensarbeid en kontrakwerk,10130
PAARL,Arbeid,Toesig en bestuurshulp,4513
PAARL,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4436
PAARL,Meganisasie,Herstel. onderdele en reparasies,4804
PAARL,Meganisasie,Lisensies en versekering - Voertuie / losbates,823
PAARL,Meganisasie,Vervoer gehuur,749
PAARL,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1441
PAARL,Vaste verbeteringe,Verskering - vaste verbeteringe,521
PAARL,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0
PAARL,Algemene uitgawes,Admin - Sekuriteit,0
PAARL,Algemene uitgawes,Administrasie,2500
PAARL,Algemene uitgawes,Elektrisiteit,5031
PAARL,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",268
PAARL,Algemene uitgawes,Waterkoste / belasting,950
PAARL,Provision for renewal,Provision for renewal,18049
PAARL,Total Expenditure,Total Expenditure,74544
STELLENBOSCH,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5623
STELLENBOSCH,Direkte koste,Herstel- en bindmateriaal,525
STELLENBOSCH,Direkte koste,Koelkamer huur,0
STELLENBOSCH,Direkte koste,"Kunsmis, blaar- en grondontledings",2642
STELLENBOSCH,Direkte koste,Onkruiddoder,1747
STELLENBOSCH,Direkte koste,Pakmateriaal,0
STELLENBOSCH,Direkte koste,"Saad, organiese bemesting en materiaal",861
STELLENBOSCH,Direkte koste,Veevoer en medisyne / Droogmiddels,0
STELLENBOSCH,Arbeid,Permanente arbeid,16753
STELLENBOSCH,Arbeid,Seisoensarbeid en kontrakwerk,10902
