Region,Category,Item,Avg_Cost
OLIFANTSRIVER,Meganisasie,Vervoer gehuur,694.47
OLIFANTSRIVER,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1010.04
OLIFANTSRIVER,Vaste verbeteringe,Verskering - vaste verbeteringe,711.18
OLIFANTSRIVER,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,68.16
OLIFANTSRIVER,Algemene uitgawes,Admin - Sekuriteit,184.9
OLIFANTSRIVER,Algemene uitgawes,Administrasie,1581.13
OLIFANTSRIVER,Algemene uitgawes,Elektrisiteit,6260.08
OLIFANTSRIVER,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",419.23
OLIFANTSRIVER,Algemene uitgawes,Waterkoste / belasting,3536.74
OLIFANTSRIVER,Provision for renewal,Provision for renewal,18300
OLIFANTSRIVER,Total Expenditure,Total Expenditure,67978.64
NORTHERN CAPE,Direkte koste,Gewasbeskerming (swam- en insekbeheer),3193.87
NORTHERN CAPE,Direkte koste,Herstel- en bindmateriaal,361.05
NORTHERN CAPE,Direkte koste,Koelkamer huur,0
NORTHERN CAPE,Direkte koste,"Kunsmis, blaar- en grondontledings",4312.53
NORTHERN CAPE,Direkte koste,Onkruiddoder,811.48
NORTHERN CAPE,Direkte koste,Pakmateriaal,0
NORTHERN CAPE,Direkte koste,"Saad, organiese bemesting en materiaal",45.51
NORTHERN CAPE,Direkte koste,Veevoer en medisyne / Droogmiddels,0
NORTHERN CAPE,Arbeid,Permanente arbeid,10465.64
NORTHERN CAPE,Arbeid,Seisoensarbeid en kontrakwerk,12753.9
NORTHERN CAPE,Arbeid,Toesig en bestuurshulp,3269.34
NORTHERN CAPE,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,6588.07
NORTHERN CAPE,Meganisasie,Herstel. onderdele en reparasies,5169.3
NORTHERN CAPE,Meganisasie,Lisensies en versekering - Voertuie / losbates,1183.67
NORTHERN CAPE,Meganisasie,Vervoer gehuur,1653.61
NORTHERN CAPE,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2109.87
NORTHERN CAPE,Vaste verbeteringe,Verskering - vaste verbeteringe,914.23
NORTHERN CAPE,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,365.16
NORTHERN CAPE,Algemene uitgawes,Admin - Sekuriteit,162.11
NORTHERN CAPE,Algemene uitgawes,Administrasie,2978.08
NORTHERN CAPE,Algemene uitgawes,Elektrisiteit,3785.72
NORTHERN CAPE,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",121.33
NORTHERN CAPE,Algemene uitgawes,Waterkoste / belasting,2773.71
NORTHERN CAPE,Provision for renewal,Provision for renewal,18112
NORTHERN CAPE,Total Expenditure,Total Expenditure,81130.18
KLEIN KAROO,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5294.74
KLEIN KAROO,Direkte koste,Herstel- en bindmateriaal,181
KLEIN KAROO,Direkte koste,Koelkamer huur,0
KLEIN KAROO,Direkte koste,"Kunsmis, blaar- en grondontledings",3609.94
KLEIN KAROO,Direkte koste,Onkruiddoder,1056.62
KLEIN KAROO,Direkte koste,Pakmateriaal,0
KLEIN KAROO,Direkte koste,"Saad, organiese bemesting en materiaal",120
KLEIN KAROO,Direkte koste,Veevoer en medisyne / Droogmiddels,0
KLEIN KAROO,Arbeid,Permanente arbeid,11781.9
KLEIN KAROO,Arbeid,Seisoensarbeid en kontrakwerk,2964.61
KLEIN KAROO,Arbeid,Toesig en bestuurshulp,2430.04
KLEIN KAROO,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4899.08
KLEIN KAROO,Meganisasie,Herstel. onderdele en reparasies,3441.4
KLEIN KAROO,Meganisasie,Lisensies en versekering - Voertuie / losbates,1007.97
KLEIN KAROO,Meganisasie,Vervoer gehuur,452
KLEIN KAROO,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2131.03
KLEIN KAROO,Vaste verbeteringe,Verskering - vaste verbeteringe,723
KLEIN KAROO,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0
KLEIN KAROO,Algemene uitgawes,Admin - Sekuriteit,0
KLEIN KAROO,Algemene uitgawes,Administrasie,2282.42
KLEIN KAROO,Algemene uitgawes,Elektrisiteit,6770.09
KLEIN KAROO,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",368
KLEIN KAROO,Algemene uitgawes,Waterkoste / belasting,8527.24
KLEIN KAROO,Provision for renewal,Provision for renewal,18148
KLEIN KAROO,Total Expenditure,Total Expenditure,76189.08
PAARL,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5419.43
PAARL,Direkte koste,Herstel- en bindmateriaal,432.63
PAARL,Direkte koste,Koelkamer huur,0
PAARL,Direkte koste,"Kunsmis, blaar- en grondontledings",3455.86
PAARL,Direkte koste,Onkruiddoder,1644.8
PAARL,Direkte koste,Pakmateriaal,0
PAARL,Direkte koste,"Saad, organiese bemesting en materiaal",570.15
PAARL,Direkte koste,Veevoer en medisyne / Droogmiddels,0
PAARL,Arbeid,Permanente arbeid,9349.39
PAARL,Arbeid,Seisoensarbeid en kontrakwerk,8445.06
PAARL,Arbeid,Toesig en bestuurshulp,3499.87
